transformed,raw
Government Secretary General,Government Secretary General
President,Head of State
Minister Delegate in the Ministry of Construction,"Minister Delegate in the Ministry of Construction, Town Planning, Housing, and Land Reform in Charge of Land Reform"
Minister Delegate in the Ministry of Foreign Affairs,"Minister Delegate in the Ministry of Foreign Affairs, Cooperation, and Francophone Affairs in Charge of Development Cooperation and Francophone Affairs"
Minister at the Presidency,Minister at the Presidency
Minister of Agriculture,Agriculture and Livestock
Minister of Agriculture,"Agriculture, Livestock, Fisheries"
Minister of Agriculture,"Agriculture, Livestock, Fisheries, and Women Affairs"
Minister of Agriculture,"Agriculture, Livestock, and Fishing"
Minister of Civic Education,Civic Education and Youth
Minister of Civic Education,"Civic Education, Sports, Vocational and Technical Education, and Youth"
Minister of Civil Service,Civil Service
Minister of Civil Service,Civil Service and State Reform
Minister of Civil Service,"Civil Service, Administrative Reform and Women Promotion"
Minister of Commerce,Commerce and Supplies
Minister of Commerce,"Commerce, Consumption, and Supplies"
Minister of Commerce,"Commerce, Supply and Consumption"
Minister of Communications,Communications and Government Spokesman
Minister of Communications,Communications and Relations with the Parliament
Minister of Communications,"Communications, Media, and Relations with the Parliament"
Minister of Construction,"Construction, Town Planning and Housing"
Minister of Cooperation,Cooperation and Development
Minister of Cooperation,"Cooperation, Humanitarian action, and Solidarity"
Minister of Culture and Arts,Culture and Arts
Minister of Culture and Arts,"Culture, Arts, in charge of Tourism"
Minister of Defence,Defence
Minister of Economy,"Economy, Finance, Budget, and Parastatals"
Minister of Economy,"Economy, Finance, Planning, Integration, and Parastatals"
Minister of Economy,"Economy, Finance, and Budget"
Minister of Economy,"Economy, Industrial Development, and Promotion of the Private Sector"
Minister of Economy,"Economy, Industry and Public Portfolio"
Minister of Economy,"Economy, Planning, Regional Planning and Integration"
Minister of Education,Primary and Secondary Education in Charge of Literacy
Minister of Education,"Primary and Secondary Education, Civic Education, and Youth"
Minister of Education,"Primary, Secondary and Higher Education, in charge of Scientific Research"
Minister of Education,Technical Education and Professional Training
Minister of Energy,Energy and Hydraulics
Minister of Energy,Energy and Water Resources
Minister of Equipment,Equipment and Public Works
Minister of Equipment,Equipment and Road Maintenance
Minister of Equipment,"Equipment, Public Works, Reconstruction, and Urban Development"
Minister of Finance,Finance and Budget
Minister of Finance,"Finance, Budget and Public Portfolio"
Minister of Finance,"Finance, Budget, and Parastatals"
Minister of Fishing,Fishing
Minister of Foreign Affairs,Foreign Affairs and Cooperation
Minister of Foreign Affairs,Foreign Affairs and Francophonie
