name,id,found,desc
Aime Emmanuel Yoka,Q4697192,Aimé Emmanuel Yoka,Minister of State for Justice and Human Rights
Aimé Ange Wilfrid Bininga,Q50379869,Aimé Ange Wilfrid Bininga,Congolese politician
Alain Akouala Atipault,Q4705620,Alain Akouala Atipault,Republic of the Congo politician
Alain Moka,Q4705682,Alain Moka,Republic of the Congo politician
Anatole Collinet Makosso,Q4752077,Anatole Collinet Makosso,Republic of the Congo politician
André Raphaël Loemba,Q59262052,André-Raphaël Loemba,Congolese politician (RC)
Antoinette Dinga-Dzondo,Q61415246,Antoinette Dinga-Dzondo,Congolese politician
Arlette Soudan-Nonault,Q26254130,Arlette Soudan-Nonault,Congolese journalist and politician
Basile Ikouébé,Q58135,Basile Ikouébé,Republic of the Congo politician
Bernard Tchibambelela,Q4893697,Bernard Tchibambelela,Republic of the Congo politician
Bienvenu Okiemy,Q24166348,Bienvenu Okiemy,"Congolese lawyer, academic and politician"
Bruno Jean-Richard Itoua,Q4979263,Bruno Itoua,Republic of Congo politician
Calixte Nganongo,Q24150698,Calixte Ganongo,Congolese businessman and politician
Charles Richard Mondjo,Q5082018,Charles Richard Mondjo,Congolese politician
Charles Zacharie Bowao,Q2960478,Charles Zacharie Bowao,Congolese politician
Claude Alphonse Nsilou,Q5128679,Claude Alphonse Nsilou,Republic of the Congo politician and architect
Claudine Munari,Q5129307,Claudine Munari,Republic of the Congo politician
Clément Mouamba,Q23928873,Clément Mouamba,Congolese politician ( 1943-2021)
Dambert Ndouane,Q17111062,René-Dambert Ndouane,Congolese politician
Denis Sassou-Nguesso,Q57418,Denis Sassou-Nguesso,"President of the Republic of the Congo (1997-present, 1979-1992)"
Destinée Doukaga,Q48778190,Destinée Ermela Doukaga,"Congolese politician, writer and pilot"
Dieudonné Moyongo,Q59676765,Dieudonné Moyongo,Congolese politician
Emile Ouosso,Q24147892,Emile Ouosso,Congolese politician
Emilienne Raoul,Q5371792,Emilienne Raoul,Republic of the Congo politician
Euloge Landry Kolélas,Q5409443,Euloge Landry Kolélas,Congolese politician
Fidèle Dimou,Q5446833,Fidèle Dimou,Prefect of Kouilou Department
Firmin Ayessa,Q5452128,Firmin Ayessa,Republic of the Congo politician
Florent Ntsiba,Q5460873,Florent Ntsiba,Republic of the Congo politician
François Ibovi,Q5493295,François Ibovi,Republic of the Congo politician
Gabriel Entcha-Ebia,Q5515608,Gabriel Entcha-Ebia,Congolese politician
Georges Moyen,Q17076721,Georges Moyen,Congolese physician and politician
Gerard Bitsindou,Q5625984,Gérard Bitsindou,Republic of the Congo politician
Gilbert Mokoki,Q33026718,Gilbert Mokoki,
Gilbert Ondongo,Q5561139,Gilbert Ondongo,Republic of the Congo politician
Guy Brice Parfait Kolélas,Q3121597,Guy Brice Parfait Kolélas,Congolese politician.
Hellot Mampouya Matson,Q5708967,Hellot Matson Mampouya,politician
Henri Djombo,Q5715430,Henri Djombo,Republic of the Congo politician
Henri Ossebi,Q16190965,Henri Ossébi,Republic of the Congo politician
Hugues Ngouélondélé,Q3142653,Hugues Ngouelondélé,Republic of the Congo politician
Ingrid Ebouka-Babackas,Q26237842,Ingrid Ebouka-Babackas,Female politician of the Republic of the Congo
Inès Nefer Ingani,Q61600532,Inès Nefer Ingani,Congolese politician
Isidore Mvouba,Q57890,Isidore Mvouba,Prime Minister of the Republic of the Congo
Jacqueline Lydia Mikolo,Q24175564,Jacqueline Lydia Mikolo,Congolese politician
Jacques Yvon Ndolou,Q24880625,Jacques Yvon Ndolou,politician from the Republic of the Congo
Jean Jacques Bouya,Q6169352,Jean-Jacques Bouya,Congolese politician
Jean Martin Mbemba,Q6169668,Jean-Martin Mbemba,Republic of the Congo politician
Jean-Baptiste Tati Loutard,Q1541759,Jean-Baptiste Tati-Loutard,Republic of the Congo politician (1938-2009)
Jean-Claude Gakosso,Q15046890,Jean-Claude Gakosso,Republic of the Congo politician
Jean-Marc Thystère Tchicaya,Q26689539,Jean-Marc Thystère-Tchicaya,Congolese politician
